original_char,mod_char_sugg1,mod_char_sugg1_link,mod_char_sugg2,mod_char_sugg2_link,sugg1_slots,sugg2_slots,sugg1_status,sugg2_status,compat_check,sugg1_confidence,sugg2_confidence
Mario,Iron Man,https://gamebanana.com/mods/660142,NONE AVAILABLE,,48-55,,Released,,single option available,verified (slots+hooks checked),
Donkey Kong,Funky Kong,https://gamebanana.com/mods/549673,Bluster Kong,https://discord.gg/PdTDUgNYaY ,120-127,64-71,Released,Open Beta,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Link,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Samus,Mecha Sonic,https://gamebanana.com/mods/495584,NONE AVAILABLE,,80-87,,Released,,single option available,verified (slots+hooks checked),
Dark Samus,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Yoshi,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Kirby,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Fox,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Pikachu,Raichu,https://gamebanana.com/mods/474333,NONE AVAILABLE,,n/a,,Released,,single option available,slotted ecosystem; slot range not published,
Luigi,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ness,Kamek,https://gamebanana.com/mods/510382,Ninten,https://gamebanana.com/mods/468526,64-71,120-127,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Captain Falcon,Blood Falcon,https://gamebanana.com/mods/496231,Phoenix Wright,https://gamebanana.com/mods/606758,24-31,112-119,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Jigglypuff,Magolor,https://gamebanana.com/mods/630469,A-Bomb,https://gamebanana.com/mods/665659,96-111,32-33,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Peach,Uravity,https://lilylavender.github.io/UltimateMovesetCompatibility/moveset/96,NONE AVAILABLE,,100-107,,Open Beta,,single option available,verified (slots+hooks checked),
Daisy,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Bowser,King Leno,https://gamebanana.com/mods/674935,NONE AVAILABLE,,24-31,,Released,,single option available,verified (slots+hooks checked),
Ice Climbers,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Sheik,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Zelda,Phosphora,https://gamebanana.com/mods/471696,NONE AVAILABLE,,128-135,,Released,,single option available,verified (slots+hooks checked),
Dr. Mario,Sandbag,https://gamebanana.com/mods/481498,Pawn,https://gamebanana.com/mods/664660,64-71,41-48,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Pichu,Goomba,https://gamebanana.com/mods/639737,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Falco,Peppy,https://gamebanana.com/mods/38894,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Marth,Tetrimino,https://gamebanana.com/mods/626305,Goku,https://lilylavender.github.io/UltimateMovesetCompatibility/moveset/95,20-27,80-87,Released,Open Beta,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Lucina,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Young Link,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ganondorf,Springtrap,https://gamebanana.com/mods/675046,Ultron,https://gamebanana.com/mods/681333,16-23,64-71,Open Beta,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Mewtwo,Herobrine,https://gamebanana.com/mods/559266,Shadow Mewtwo,https://gamebanana.com/mods/583298,32-39,24-31,Pending Update,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Roy,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Chrom,Ichiban,https://gamebanana.com/mods/660071,NONE AVAILABLE,,95-103,,Released,,single option available,verified (slots+hooks checked),
Mr. Game & Watch,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Meta Knight,Dark Meta Knight,https://discord.gg/mXGbCkakR,NONE AVAILABLE,,72-79,,Open Beta,,single option available,verified (slots+hooks checked),
Pit,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Dark Pit,Krystal,https://gamebanana.com/mods/514829,Decidueye,https://gamebanana.com/mods/513821,64-71,n/a,Released,Released,compatible stack; confirm slots on install,verified (slots+hooks checked),slotted ecosystem; slot range not published
Zero Suit Samus,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Wario,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Snake,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ike,Monster Hunter,https://gamebanana.com/mods/678083,Black Knight,https://gamebanana.com/mods/589645,104-111,120-127,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Pokémon Trainer,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Diddy Kong,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Lucas,Masked Man,https://gamebanana.com/mods/489945,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Sonic,Tails,https://gamebanana.com/mods/635053,Knuckles,https://gamebanana.com/mods/606587,64-71,120-127,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
King Dedede,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Olimar,Rayman,https://gamebanana.com/mods/38894,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Lucario,Vegeta,https://gamebanana.com/mods/469216,NONE AVAILABLE,,n/a,,Released,,single option available,slotted ecosystem; slot range not published,
R.O.B.,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Toon Link,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Wolf,Zeraora,https://gamebanana.com/mods/524527,NONE AVAILABLE,,n/a,,Released,,single option available,slotted ecosystem; slot range not published,
Villager,Toad,https://gamebanana.com/mods/38894,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Mega Man,X,https://gamebanana.com/mods/605585,Colette,https://gamebanana.com/mods/561040,95-102,n/a,Released,Released,compatible stack; confirm slots on install,verified (slots+hooks checked),slotted ecosystem; slot range not published
Wii Fit Trainer,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Rosalina & Luma,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Little Mac,Naruto Uzumaki,https://gamebanana.com/mods/478432,NONE AVAILABLE,,n/a,,Released,,single option available,slotted ecosystem; slot range not published,
Greninja,Chaos,https://gamebanana.com/mods/641872,NONE AVAILABLE,,64-71,,Released,,single option available,verified (slots+hooks checked),
Mii Brawler,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Mii Swordfighter,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Mii Gunner,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Palutena,Sans,https://gamebanana.com/mods/549674,Sailor Moon,https://gamebanana.com/mods/390285,120-127,128-135,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
PAC-Man,Bomberman,https://gamebanana.com/mods/38894,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Robin,Mona,https://gamebanana.com/mods/533215,NONE AVAILABLE,,n/a,,Released,,single option available,slotted ecosystem; slot range not published,
Shulk,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Bowser Jr.,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Duck Hunt,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ryu,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ken,Vegeta,https://gamebanana.com/mods/699357,NONE AVAILABLE,,95-102,,Released,,single option available,verified (slots+hooks checked),
Cloud,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Corrin,Potemkin,https://lilylavender.github.io/UltimateMovesetCompatibility/moveset/45,NONE AVAILABLE,,128-144,,Open Beta,,single option available,verified (slots+hooks checked),
Bayonetta,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Inkling,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Ridley,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Simon,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Richter,Alucard,https://gamebanana.com/mods/457661,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
King K. Rool,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Isabelle,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Incineroar,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Piranha Plant,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Joker,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Hero,Megumin,https://gamebanana.com/mods/660152,NONE AVAILABLE,,64-71,,Released,,single option available,verified (slots+hooks checked),
Banjo & Kazooie,Cuphead,https://gamebanana.com/mods/633920,NONE AVAILABLE,,32-39,,Released,,single option available,verified (slots+hooks checked),
Terry,Waluigi,https://gamebanana.com/mods/443150,Meiling,https://gamebanana.com/mods/583913,120-127,70-79,Released,Released,verified conflict-free,verified (slots+hooks checked),verified (slots+hooks checked)
Byleth,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Min Min,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Steve,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Sephiroth,Bandana Dee,https://gamebanana.com/mods/580288,NONE AVAILABLE,,120-127,,Released,,single option available,verified (slots+hooks checked),
Pyra / Mythra,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Kazuya,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
Sora,NONE AVAILABLE,,NONE AVAILABLE,,,,,,no custom moveset exists,,
